p_name,p_hs,p_univ,p_draft,p_drafted,p_debut,p_debut_war,p_main_team,p_career_war,p_no,p_hs_code,p_hs_loc
김승회,배명고,탐라대,2차지명,두산,2003,0.9,두산,6.9,10202,50105,서울
이장환,배재고,제주,2차지명,SK,,,,,10149,50106,서울
허도환,서울고,단국대,2차지명,두산,2007,,키움,-1,10684,50107,서울
김이슬,효천고,경희대,2차지명,롯데,2007,,롯데,0.4,10275,50606,전라
윤성길,효천고,성균관대,2차지명,LG,,,,,10144,50606,전라
조동현,경남고,한양대,2차지명,KIA,,,,,10073,50802,경남
이인구,배재고,동아대,2차지명,롯데,2003,0,롯데,0.9,10263,50106,서울
오재원,야탑고,경희대,2차지명,두산,2007,,두산,17.7,10178,50207,경기
정민혁,대전고,연세대,2차지명,한화,2007,,한화,-2,10693,50402,충청
이창석,광주제일고,동아대,2차지명,롯데,2007,,롯데,-0.1,2402,50602,전라
김준호,효천고,고려대,2차지명,LG,2008,,LG,-0.3,10484,50606,전라
존슨,,,자유선발,KIA,2003,2.3,KIA,2.1,10159,,국외
김진유,국외,,자유선발,LG,2003,-0.4,LG,-0.5,2294,51100,국외
알칸트라,,,자유선발,LG,2003,1.2,LG,1.4,2282,,국외
디아즈,,,자유선발,SK,2003,3.2,SK,2.7,2275,,국외
스미스,,,자유선발,SK,2003,1.5,SK,1.5,2298,,국외
이리키,,,자유선발,두산,2003,4.2,두산,4.2,2302,,국외
쿨바,,,자유선발,두산,2003,0,두산,0,2289,,국외
김영화,,,자유선발,롯데,2003,-0.1,롯데,-0.1,2273,,국외
보이,,,자유선발,롯데,2003,0,롯데,0,2281,,국외
이시온,,,자유선발,롯데,2003,1.5,롯데,1.4,2285,,국외
페레즈,,,자유선발,롯데,2003,1.2,롯데,3.6,2290,,국외
라이언,,,자유선발,삼성,2003,0.5,삼성,0.5,2295,,국외
에스트라다,,,자유선발,한화,2003,0.3,한화,0.3,2300,,국외
메히아,,,자유선발,한화,2003,-0.4,한화,-0.4,2277,,국외
고지행,,,자유선발,한화,2003,0.9,삼성,0.8,2270,,국외
브룸바,,,자유선발,현대,2003,2,현대,21.5,10411,,국외
바워스,,,자유선발,현대,2003,4.5,현대,4.5,2296,,국외
송수근,전주고,원광대,신고선수,SK,2003,0,SK,-0.2,11457,50502,전라
송수,중앙고,,신고선수,두산,2006,,두산,0,2376,50112,서울
정보명,효천고,동의대,신고선수,롯데,2003,-0.2,롯데,2,10252,50606,전라
이석만,효천고,원광대,신고선수,롯데,2003,0.2,롯데,0.4,10215,50606,전라
이준,,건국대,신고선수,삼성,2003,0,삼성,0,2303,,국외
윤경영,대전고,동의대,신고선수,한화,2004,,한화,-0.6,10605,50402,충청
손시헌,선린고,동의대,육성선수,두산,2003,-1.2,두산,31.5,10177,50109,서울
김광희,성남고,,1차지명,LG,2003,,LG,0.2,2271,50108,서울
이재영,선린고,영남대,1차지명,두산,2002,3.5,두산,16,10529,50109,서울
이정민,경남고,동아대,1차지명,롯데,2002,0.1,롯데,6.5,10295,50802,경남
신주영,청주기공고,,1차지명,한화,2003,,한화,0.8,10599,50303,충청
조순권,유신고,한양대,1차지명,현대,2007,,키움,-0.4,2415,50208,경기
김진우,진흥고,,1차지명,KIA,2002,3.9,KIA,22.4,10695,50604,전라
권혁,포철공고,,1차지명,삼성,2002,-0.2,삼성,32.6,10351,50706,경북
김용섭,한서고,경희대,1차지명,SK,2007,,SK,-0.1,10090,50115,서울
제춘모,광주동성고,,2차지명,SK,2002,0.7,SK,1.6,10157,50601,전라
신용운,전주고,,2차지명,KIA,2002,2.2,KIA,20.1,10055,50502,전라
김우석,인천고,홍익대,2차지명,LG,2002,-0.4,LG,-0.7,2227,50209,경기
윤길현,대구고,,2차지명,SK,2002,-0.7,SK,17.5,10142,50703,경북
박창근,경기고,,2차지명,SK,2004,,SK,-1,2329,50101,서울
고영민,성남고,,2차지명,두산,2002,-0.2,두산,12.1,10171,50108,서울
고효준,세광고,,2차지명,롯데,2002,0.2,SK,5.1,10124,50301,충청
조동찬,공주고,,2차지명,삼성,2002,0.1,삼성,14,10329,50401,충청
유혜정,포철공고,,2차지명,한화,2002,-0.5,한화,-0.3,2261,50706,경북
배힘찬,서울고,,2차지명,현대,2002,-0.1,키움,-1.6,10440,50107,서울
문현정,선린고,,2차지명,KIA,2004,,KIA,-3.7,10049,50109,서울
박영복,경북고,,2차지명,LG,2007,,LG,0,10388,50701,경북
박종섭,배명고,한양대,2차지명,두산,,,,,10175,50105,서울
이명우,부산공고,,2차지명,롯데,2002,0.4,롯데,10.6,10290,50806,경남
정병희,휘문고,,2차지명,한화,2003,,한화,-1.5,10155,50116,서울
허웅,부산고,,2차지명,현대,2011,,SK,0.3,10084,50805,경남
이경환,경기고,,2차지명,두산,2002,0,두산,-0.2,10462,50101,서울
허일상,덕수고,단국대,2차지명,롯데,2002,0.1,롯데,0.4,10086,50103,서울
손주인,진흥고,,2차지명,삼성,2002,0,LG,5,10325,50604,전라
이현승,동산고,인하대,2차지명,현대,2006,,두산,8.3,10221,50202,경기
서성종,광주제일고,,2차지명,SK,2008,,LG,0,10460,50602,전라
황덕균,선린고,,2차지명,두산,2013,,키움,0.3,11139,50109,서울
김풍철,동래고,동아대,2차지명,롯데,2002,1.6,롯데,1.6,2252,50813,경남
노병오,청주기공고,,2차지명,삼성,2002,1.5,삼성,-2.3,10435,50303,충청
임재청,경남고,동아대,2차지명,한화,2006,,한화,-0.4,2391,50802,경남
장준영,세광고,,2차지명,KIA,,,,,11460,50301,충청
박두일,,,2차지명,SK,2003,,SK,0,2278,,국외
이민택,배명고,탐라대,2차지명,두산,2003,,두산,-0.1,2283,50105,서울
이승재,마산고,경희대,2차지명,롯데,2006,,롯데,-0.5,10744,50803,경남
안지만,상원고,방송통신대,2차지명,삼성,2003,,삼성,30,10364,50705,경북
송혁,선린고,탐라대,2차지명,한화,2002,-0.1,한화,-0.2,2235,50109,서울
장태종,한서고,경희대,2차지명,현대,2006,,키움,-1.9,10762,50115,서울
박희수,대전고,동국대,2차지명,SK,2006,,SK,20.8,10135,50402,충청
이승엽,부산고,중앙대,2차지명,한화,2006,,두산,-0.2,2379,50805,경남
신종길,광주제일고,동신대,2차지명,롯데,2003,,KIA,2.5,10031,50602,전라
최형우,전주고,,2차지명,삼성,2002,0.2,삼성,72.7,10344,50502,전라
조태수,배명고,,2차지명,KIA,2003,,KIA,-1.2,10074,50105,서울
임세업,서울고,,2차지명,삼성,2013,,한화,0,11123,50107,서울
김경선,진흥고,고려대,2차지명,한화,2007,,한화,-0.3,10582,50604,전라
이태호,경동고,,2차지명,삼성,2002,-0.1,삼성,-0.5,2240,50102,서울
김태완,중앙고,성균관대,2차지명,한화,2006,,한화,8.4,10553,50112,서울
추경식,전주고,성균관대,2차지명,,2006,,롯데,-0.2,10255,50502,전라
정홍준,경북고,영남대,2차지명,삼성,2006,,삼성,1,10378,50701,경북
조민철,광주상고,세한대,2차지명,KIA,2002,0,KIA,-0.1,2243,50608,전라
이한진,인천고,건국대,2차지명,SK,2006,,SK,0.2,10150,50209,경기
문규현,군산상고,,2차지명,롯데,2002,0,롯데,3.7,10240,50501,전라
송광민,공주고,동국대,2차지명,한화,2006,,한화,14.9,10555,50401,충청
장원삼,용마고,경성대,2차지명,현대,2006,,삼성,31.6,10375,50807,경남
안영진,북일고,성균관대,2차지명,,2011,,한화,-0.6,10697,50403,충청
신원주,부산고,고려대,2차지명,롯데,2002,-0.2,롯데,-0.2,2259,50805,경남
연경흠,청주기공고,인하대,2차지명,한화,2006,,한화,1.2,10571,50303,충청
키퍼,,,자유선발,KIA,2002,5.9,KIA,10.3,2266,,국외
뉴선,,,자유선발,KIA,2002,0.1,KIA,0.1,2231,,국외
리오스,,,자유선발,KIA,2002,6.2,KIA,34.7,2254,,국외
펨버튼,,,자유선발,KIA,2002,0.7,KIA,0.7,2247,,국외
만자니오,,,자유선발,LG,2002,2.2,LG,2.2,2255,,국외
케펜,,,자유선발,LG,2002,0.2,LG,0.2,2265,,국외
러핀,,,자유선발,SK,2002,1.5,SK,1.5,2253,,국외
페르난데스,,,자유선발,SK,2002,6.1,SK,6.1,2246,,국외
잉글린,,,자유선발,SK,2002,1.4,SK,1.4,2241,,국외
매기,,,자유선발,롯데,2002,0.8,롯데,0.8,2256,,국외
해처,,,자유선발,롯데,2002,-0.7,롯데,-0.7,2250,,국외
베로아,,,자유선발,롯데,2002,-0.4,롯데,-0.4,2234,,국외
패트릭,,,자유선발,삼성,2002,0.3,삼성,0.3,2268,,국외
엘비라,,,자유선발,삼성,2002,5.1,삼성,5,2260,,국외
가르시아,,,자유선발,한화,2002,0.4,한화,0.4,2225,,국외
피코타,,,자유선발,한화,2002,2.9,한화,4.5,2269,,국외
폴,,,자유선발,현대,2002,1.7,현대,1.7,2248,,국외
프랭클린,,,자유선발,현대,2002,2.9,현대,3.8,2249,,국외
베라스,,,자유선발,현대,2002,-1.5,현대,-1.5,2257,,국외
토레스,,,자유선발,현대,2002,2,현대,2,2267,,국외
이일의,,,자유선발,LG,2002,-0.2,LG,-0.3,2238,,국외
오태근,휘문고,건국대,신고선수,LG,2003,,LG,-0.9,10489,50116,서울
변인재,배재고,중앙대,신고선수,롯데,2002,-0.3,롯데,-1.2,2258,50106,서울
박봉수,휘문고,고려대,신고선수,삼성,2002,-0.1,삼성,-0.1,2232,50116,서울
최환인,동산고,,신고선수,현대,2002,0,현대,0,2264,50202,경기
김재구,휘문고,단국대,육성선수,SK,2002,0.2,SK,-0.2,2228,50116,서울
정원,광주제일고,,1차지명,해태,2001,0,KIA,1.3,2219,50602,전라
이정호,대구상고,,1차지명,삼성,2001,0.3,삼성,-0.6,10450,50711,경북
이동현,경기고,,1차지명,LG,2001,0.5,LG,21.1,10524,50101,서울
정상호,동산고,,1차지명,SK,2001,0.2,SK,11.9,10083,50202,경기
김태균,북일고,대전대,1차지명,한화,2001,3.9,한화,67.4,10552,50403,충청
김상현,부천고,한라대,2차지명,두산,2001,0.5,두산,11.9,10198,50203,경기
최준석,포철공고,영남사이버대,2차지명,롯데,2002,,두산,19.3,10183,50706,경북
김주철,성남고,,2차지명,해태,2001,-0.5,KIA,-0.5,2193,50108,서울
박용진,신일고,,2차지명,LG,2001,0.1,LG,-0.6,2203,50110,서울
김희걸,포철공고,,2차지명,SK,2001,-0.6,KIA,-1.4,10045,50706,경북
조형식,,,2차지명,SK,2002,,SK,0.5,2263,,국외
김동건,춘천고,,2차지명,SK,2001,-0.1,SK,-0.9,10088,50904,강원
이대호,경남고,,2차지명,롯데,2001,0.2,롯데,52.1,10251,50802,경남
김덕윤,부경고,,2차지명,삼성,2001,0.8,삼성,0.8,2192,50804,경남
김백만,부산고,,2차지명,한화,2001,0.1,한화,0,10584,50805,경남
장기영,경남고,,2차지명,현대,2001,,키움,2.9,10416,50802,경남
여승현,한서고,,2차지명,LG,2006,,LG,0.4,2389,50115,서울
김강민,경북고,,2차지명,SK,2002,,SK,29.4,10108,50701,경북
김태구,마산고,,2차지명,두산,2001,-0.7,두산,-0.5,2194,50803,경남
이승화,개성고,,2차지명,롯데,2001,-0.3,롯데,0.1,11398,50801,경남
조영훈,설악고,건국대,2차지명,삼성,2005,,NC,7,10330,50902,강원
김경언,부경고,,2차지명,해태,2001,0.3,한화,15.1,10028,50804,경남
유영민,광주제일고,,2차지명,한화,2004,,한화,-0.1,2331,50602,전라
박준서,광주동성고,세한대,2차지명,SK,2001,0,롯데,1.5,10242,50601,전라
서창호,부산고,고려대,2차지명,한화,2001,-0.1,한화,-0.1,2175,50805,경남
심제훈,부산고,동아대,2차지명,해태,2001,-0.6,KIA,-0.6,2177,50805,경남
손승락,대구고,영남대,2차지명,현대,2005,,키움,26.3,10442,50703,경북
이윤학,,,2차지명,해태,2002,,두산,0.1,2262,,국외
이대현,청원고,,2차지명,두산,2001,-0.3,두산,-0.3,2182,50113,서울
박종윤,포철공고,,2차지명,롯데,2002,,롯데,-1.6,10243,50706,경북
박성훈,강릉고,한양대,2차지명,삼성,2005,,키움,2.3,10438,50901,강원
박정근,경북고,,2차지명,한화,2001,1.4,한화,1.2,2205,50701,경북
김제빈,중앙고,,2차지명,롯데,2002,,롯데,-1.2,2251,50112,서울
백승룡,부경고,경성대,2차지명,한화,2005,,한화,-0.3,10664,50804,경남
송산,부경고,단국대,2차지명,해태,2005,,KIA,-0.4,10796,50804,경남
채병용,신일고,,2차지명,SK,2002,,SK,25.1,10161,50110,서울
조중근,동산고,,2차지명,SK,2003,,SK,-1.8,10406,50202,경기
손승현,설악고,인하대,2차지명,삼성,2005,,삼성,-0.1,10389,50902,강원
허준,덕수정보고,연세대,2차지명,현대,2005,,키움,-1,10393,50104,서울
오승준,신일고,,2차지명,SK,2001,-0.2,SK,-0.6,2212,50110,서울
김민철,광주제일고,,2차지명,해태,2001,-0.6,KIA,-0.8,10006,50602,전라
김민철,광주제일고,,2차지명,해태,2001,-0.7,KIA,-0.8,10006,50602,전라
김장준,서울고,,2차지명,SK,2003,,SK,-0.8,2292,50107,서울
임성민,용마고,경성대,2차지명,해태,2005,,KIA,0.1,2347,50807,경남
박재상,서울고,,2차지명,SK,2001,-0.1,SK,13.5,10112,50107,서울
황준영,경남고,경성대,2차지명,롯데,2005,,롯데,0.1,2352,50802,경남
차정민,부산상고,동아대,2차지명,해태,2005,,KIA,0,10076,50812,경남
강유삼,세광고,경희대,2차지명,삼성,2006,,삼성,-0.5,2382,50301,충청
오승택,공주고,한양대,2차지명,한화,2006,,한화,-0.2,10665,50401,충청
레스,,,자유선발,KIA,2001,3.1,두산,13.5,2196,,국외
산토스,,,자유선발,KIA,2001,2.8,해태,2.8,2174,,국외
루이스,,,자유선발,KIA,2001,0.8,해태,1.7,2198,,국외
루이스,,,자유선발,KIA,2001,0.8,해태,1.7,2198,,국외
리치,,,자유선발,KIA,2001,-0.2,KIA,-0.2,2201,,국외
젠슨,,,자유선발,KIA,2001,-0.2,KIA,-0.2,2220,,국외
린튼,,,자유선발,LG,2001,2.2,LG,2.2,2202,,국외
발데스,,,자유선발,LG,2001,2.4,LG,2.4,2207,,국외
에르난데스,,,자유선발,SK,2001,4.7,SK,5.7,2209,,국외
에레라,,,자유선발,SK,2001,3.8,SK,4.9,2179,,국외
니일,,,자유선발,두산,2001,-0.2,두산,-0.2,2169,,국외
베넷,,,자유선발,두산,2001,-0.1,두산,-0.1,2208,,국외
얀,,,자유선발,롯데,2001,1.5,롯데,1.5,2178,,국외
레이,,,자유선발,롯데,2001,0.5,롯데,0.5,2197,,국외
리베라,,,자유선발,삼성,2001,5.6,삼성,5.6,2199,,국외
토레스,,,자유선발,삼성,2001,-0.3,삼성,-0.3,2224,,국외
갈베스,,,자유선발,삼성,2001,4.2,삼성,4.2,2189,,국외
바에르가,,,자유선발,삼성,2001,0.2,삼성,0.2,2171,,국외
차베스,,,자유선발,한화,2001,0.7,한화,0.7,2221,,국외
윈스턴,,,자유선발,한화,2001,-0.7,한화,-0.7,2214,,국외
워렌,,,자유선발,한화,2001,0.2,한화,0.2,2213,,국외
리스,,,자유선발,한화,2001,3,한화,3,2200,,국외
누네스,,,자유선발,한화,2001,0,한화,0,2195,,국외
